,GA,time
0,234.0,21.12434411048889
1,225.0,20.72547936439514
2,268.0,20.7389395236969
3,193.0,20.930663108825684
4,216.0,20.76047968864441
5,235.0,20.550776481628418
6,204.0,20.654215812683105
7,182.0,20.941064834594727
8,229.0,20.7593514919281
9,224.0,21.12445330619812
10,234.0,20.752843618392944
11,275.0,20.582362413406372
12,238.0,20.710647106170654
13,224.0,21.027114629745483
14,207.0,20.778523683547974
15,219.0,20.876901865005493
16,215.0,20.996185302734375
17,222.0,20.866830110549927
18,196.0,20.542113780975342
19,217.0,20.923154830932617
20,195.0,21.05746817588806
21,171.0,20.724278688430786
22,220.0,20.831552267074585
23,220.0,20.874444484710693
24,229.0,20.509406566619873
25,269.0,20.725095748901367
26,235.0,20.769157648086548
27,223.0,20.62089467048645
28,214.0,20.872634887695312
29,207.0,20.988306760787964
30,205.0,20.814127445220947
31,233.0,21.23716974258423
32,232.0,20.518636226654053
33,216.0,20.890310764312744
34,220.0,20.682339429855347
35,207.0,20.963581800460815
36,216.0,20.97342872619629
37,262.0,20.981650829315186
38,212.0,20.928668975830078
39,222.0,20.655736923217773
40,263.0,20.73894238471985
41,201.0,21.2261803150177
42,200.0,20.52294945716858
43,236.0,21.005894422531128
44,232.0,20.816659688949585
45,267.0,20.527172088623047
46,228.0,20.84233045578003
47,228.0,20.416998147964478
48,269.0,20.864940404891968
49,246.0,21.076334953308105
50,193.0,20.661513090133667
51,231.0,20.786770820617676
52,232.0,20.98060369491577
53,226.0,20.76376223564148
54,249.0,21.328006982803345
55,180.0,20.752487421035767
56,227.0,20.805084705352783
57,255.0,21.00741195678711
58,231.0,20.85114598274231
59,237.0,20.996416568756104
60,238.0,20.73628044128418
61,251.0,20.731276988983154
62,217.0,20.95418071746826
63,242.0,20.590264320373535
64,229.0,20.74141764640808
65,187.0,20.937190771102905
66,219.0,21.18973183631897
67,211.0,21.177650213241577
68,231.0,20.780375480651855
69,209.0,20.750210523605347
70,227.0,20.94424271583557
71,246.0,20.789427757263184
72,193.0,21.125319719314575
73,265.0,20.92934560775757
74,207.0,20.645556688308716
75,226.0,20.932444095611572
76,238.0,20.439343452453613
77,249.0,21.09541606903076
78,272.0,20.61327624320984
79,216.0,21.033584356307983
80,246.0,20.650939464569092
81,239.0,21.23744010925293
82,251.0,21.453404664993286
83,231.0,21.218977451324463
84,234.0,20.985742807388306
85,249.0,21.2619948387146
86,247.0,21.28405785560608
87,241.0,20.928658485412598
88,265.0,21.202619791030884
89,205.0,20.868258714675903
90,250.0,20.929221391677856
91,222.0,20.898127555847168
92,206.0,20.806387662887573
93,219.0,20.80755877494812
94,243.0,21.313512086868286
95,233.0,20.825648307800293
96,223.0,20.795717239379883
97,259.0,20.935469150543213
98,216.0,20.6666157245636
99,214.0,21.153928518295288
