,GA,time
0,194.0,8.00023365020752
1,124.0,8.146299123764038
2,219.0,8.456514835357666
3,171.0,7.773460149765015
4,218.0,8.135744094848633
5,195.0,7.915424823760986
6,181.0,8.146044492721558
7,184.0,8.375861406326294
8,144.0,8.029782772064209
9,191.0,8.025396585464478
10,243.0,8.220079183578491
11,165.0,8.20699429512024
12,189.0,8.165566205978394
13,213.0,8.02383041381836
14,192.0,8.23300552368164
15,158.0,8.112442016601562
16,179.0,8.00378131866455
17,226.0,8.163628578186035
18,182.0,8.040860652923584
19,171.0,8.189864158630371
20,186.0,8.544930219650269
21,180.0,7.9887144565582275
22,211.0,7.816098928451538
23,197.0,8.136448621749878
24,190.0,8.03924298286438
25,180.0,8.242319345474243
26,231.0,8.330029010772705
27,193.0,8.114187479019165
28,217.0,7.88798713684082
29,167.0,8.20222806930542
30,168.0,8.274355411529541
31,196.0,8.056630611419678
32,176.0,8.03825855255127
33,197.0,7.947560787200928
34,164.0,8.300894021987915
35,199.0,8.210466146469116
36,133.0,8.35628366470337
37,249.0,8.219232320785522
38,173.0,8.236691951751709
39,213.0,7.964044094085693
40,230.0,8.083001136779785
41,154.0,8.269859313964844
42,172.0,8.096807718276978
43,192.0,8.072133779525757
44,138.0,8.226438999176025
45,188.0,7.94995641708374
46,195.0,8.307403802871704
47,229.0,7.968291997909546
48,132.0,8.229743480682373
49,198.0,8.045789957046509
50,171.0,8.045317649841309
51,212.0,8.119729280471802
52,153.0,8.25908875465393
53,145.0,8.371970653533936
54,191.0,8.107669830322266
55,207.0,8.019183158874512
56,244.0,8.414392948150635
57,246.0,8.037168502807617
58,161.0,8.15666127204895
59,199.0,8.312845230102539
60,180.0,7.973951101303101
61,204.0,8.388000011444092
62,203.0,8.267581701278687
63,154.0,8.151978254318237
64,154.0,8.358651399612427
65,216.0,8.177971124649048
66,159.0,8.049230813980103
67,163.0,8.211382865905762
68,180.0,8.308768033981323
69,175.0,8.111225843429565
70,173.0,7.939574956893921
71,194.0,8.418220043182373
72,150.0,7.877038240432739
73,209.0,8.09631061553955
74,187.0,7.97265362739563
75,145.0,8.114097595214844
76,207.0,8.41007375717163
77,228.0,8.190210819244385
78,153.0,8.409318208694458
79,233.0,8.414440155029297
80,173.0,7.98542857170105
81,195.0,8.111189365386963
82,171.0,8.293654680252075
83,167.0,8.00606369972229
84,240.0,7.8937859535217285
85,134.0,8.174649238586426
86,191.0,8.113381147384644
87,163.0,8.204235553741455
88,168.0,8.297577619552612
89,165.0,8.12268352508545
90,188.0,7.828253269195557
91,135.0,8.321016073226929
92,184.0,8.054715394973755
93,173.0,8.245057344436646
94,206.0,8.260275840759277
95,167.0,8.102659940719604
96,165.0,7.740875959396362
97,147.0,8.158967733383179
98,200.0,7.957147598266602
99,158.0,7.915569543838501
