,GA,time
0,245.0,59.12004590034485
1,262.0,59.346370220184326
2,247.0,58.98991680145264
3,288.0,59.283151626586914
4,223.0,59.68207597732544
5,220.0,59.07953691482544
6,256.0,59.44348978996277
7,215.0,59.00059199333191
8,337.0,59.36249303817749
9,248.0,59.44536852836609
10,238.0,59.0277202129364
11,263.0,59.4754753112793
12,235.0,59.35538697242737
13,248.0,60.6101336479187
14,211.0,60.75716757774353
15,295.0,59.2701416015625
16,287.0,59.51340961456299
17,264.0,59.773409843444824
18,246.0,59.15602159500122
19,247.0,59.79980802536011
20,251.0,59.29781794548035
21,221.0,59.53230261802673
22,229.0,59.33836627006531
23,271.0,59.6519570350647
24,244.0,59.79394245147705
25,221.0,59.51069617271423
26,260.0,59.466086626052856
27,247.0,59.09272646903992
28,266.0,59.486204862594604
29,264.0,59.91909050941467
30,213.0,59.205787658691406
31,299.0,58.989495515823364
32,228.0,59.573046922683716
33,243.0,59.33748435974121
34,231.0,59.47905421257019
35,304.0,59.40786004066467
36,227.0,59.01653552055359
37,225.0,59.5372998714447
38,227.0,59.632423400878906
39,228.0,59.73832821846008
40,253.0,59.59264779090881
41,241.0,59.26165699958801
42,283.0,59.61744666099548
43,224.0,60.04553484916687
44,238.0,60.38600778579712
45,200.0,59.661736726760864
46,277.0,59.754263162612915
47,223.0,59.43741011619568
48,219.0,59.04193687438965
49,261.0,59.921241760253906
50,230.0,59.501554012298584
51,215.0,59.06989574432373
52,255.0,59.08974838256836
53,253.0,59.712127447128296
54,218.0,59.37633466720581
55,248.0,59.879013776779175
56,268.0,60.07166838645935
57,223.0,59.45834445953369
58,232.0,59.2012619972229
59,206.0,60.26474094390869
60,237.0,60.066134452819824
61,254.0,59.28101301193237
62,222.0,59.42271900177002
63,257.0,59.51508927345276
64,270.0,59.818288803100586
65,223.0,59.5862877368927
66,258.0,59.19518041610718
67,229.0,59.93164563179016
68,229.0,59.14181447029114
69,265.0,59.98469281196594
70,214.0,59.36183142662048
71,230.0,59.153968811035156
72,256.0,59.610676765441895
73,275.0,59.70595932006836
74,231.0,59.47819519042969
75,273.0,59.26487851142883
76,193.0,59.72388577461243
77,258.0,59.57001042366028
78,204.0,59.43642520904541
79,260.0,59.353800535202026
80,210.0,59.67616677284241
81,283.0,59.58820080757141
82,238.0,59.00309133529663
83,241.0,59.24723815917969
84,203.0,59.06677317619324
85,248.0,59.85714650154114
86,220.0,59.810086488723755
87,251.0,59.29192090034485
88,238.0,59.27034592628479
89,283.0,59.58326292037964
90,285.0,60.12896013259888
91,250.0,59.300068855285645
92,220.0,59.29720163345337
93,225.0,59.530513763427734
94,213.0,59.57329702377319
95,222.0,59.53713417053223
96,200.0,59.15019774436951
97,267.0,59.441195249557495
98,210.0,59.68921232223511
99,251.0,59.15846514701843
