,GA,time
0,252.0,8.486820459365845
1,184.0,8.211519956588745
2,346.0,8.61207389831543
3,212.0,7.902323484420776
4,287.0,8.202818393707275
5,242.0,7.892858505249023
6,238.0,8.191001176834106
7,251.0,8.338537693023682
8,205.0,8.176408529281616
9,273.0,8.202438831329346
10,256.0,8.207501888275146
11,224.0,8.101942539215088
12,261.0,8.118915319442749
13,270.0,8.297765254974365
14,260.0,8.374613285064697
15,278.0,8.225707292556763
16,223.0,8.10970687866211
17,268.0,8.288173198699951
18,190.0,8.470633268356323
19,230.0,8.32846975326538
20,258.0,8.258790969848633
21,255.0,8.096536874771118
22,326.0,8.165990114212036
23,305.0,8.04013204574585
24,296.0,8.181856155395508
25,231.0,8.057123899459839
26,276.0,8.222589492797852
27,263.0,8.093496084213257
28,270.0,8.049546241760254
29,236.0,8.165981531143188
30,212.0,8.57108187675476
31,273.0,7.846114635467529
32,204.0,8.128121376037598
33,224.0,8.268111228942871
34,214.0,8.305721044540405
35,274.0,8.267469644546509
36,186.0,8.303060293197632
37,356.0,8.103846549987793
38,245.0,8.321134328842163
39,260.0,8.411081790924072
40,264.0,8.06969165802002
41,231.0,8.24128794670105
42,224.0,7.938721656799316
43,225.0,8.40397572517395
44,172.0,8.376463174819946
45,213.0,8.325072765350342
46,243.0,7.984140396118164
47,336.0,8.188343048095703
48,183.0,8.30236005783081
49,264.0,8.353784799575806
50,244.0,8.294285297393799
51,292.0,8.138333320617676
52,203.0,8.702025651931763
53,222.0,8.051275730133057
54,228.0,8.294535398483276
55,276.0,8.220487833023071
56,299.0,8.293820858001709
57,308.0,7.882002830505371
58,241.0,8.053359270095825
59,261.0,8.17072057723999
60,231.0,8.201725959777832
61,282.0,8.417456150054932
62,276.0,8.161781072616577
63,222.0,8.079318284988403
64,229.0,8.276477813720703
65,276.0,8.276133298873901
66,211.0,8.384787797927856
67,242.0,8.129726886749268
68,253.0,8.224668264389038
69,259.0,8.313472986221313
70,232.0,7.9027392864227295
71,281.0,8.223042249679565
72,190.0,8.037785053253174
73,275.0,8.075435876846313
74,253.0,8.399442195892334
75,238.0,8.063491344451904
76,281.0,8.252345085144043
77,322.0,8.120324850082397
78,221.0,8.335832118988037
79,302.0,8.39649510383606
80,218.0,8.173058986663818
81,284.0,8.33168339729309
82,253.0,8.046328067779541
83,178.0,8.562623023986816
84,334.0,7.887316465377808
85,177.0,8.413983583450317
86,241.0,8.37971830368042
87,222.0,8.13683032989502
88,231.0,8.271756649017334
89,227.0,8.332505702972412
90,273.0,7.962217092514038
91,184.0,7.983924388885498
92,240.0,8.39674425125122
93,260.0,8.518978595733643
94,320.0,7.743912935256958
95,248.0,8.239014387130737
96,185.0,8.187577486038208
97,204.0,7.953061103820801
98,251.0,8.413145542144775
99,211.0,8.161737442016602
