,GA,time
0,330.0,21.43235206604004
1,296.0,21.417292833328247
2,367.0,21.441551685333252
3,297.0,21.402183055877686
4,289.0,21.023724794387817
5,310.0,21.477669954299927
6,306.0,21.642452001571655
7,268.0,21.37177276611328
8,354.0,21.75481367111206
9,296.0,21.350327968597412
10,293.0,22.030770540237427
11,358.0,22.200305223464966
12,372.0,21.646227598190308
13,296.0,21.81604266166687
14,243.0,21.75139021873474
15,318.0,21.670700311660767
16,318.0,21.482821941375732
17,274.0,21.393032550811768
18,280.0,21.467611074447632
19,293.0,21.844213247299194
20,282.0,21.661545038223267
21,265.0,21.14313578605652
22,309.0,21.413942575454712
23,312.0,21.310137033462524
24,323.0,21.402146339416504
25,343.0,21.118319272994995
26,362.0,21.926698446273804
27,286.0,21.418691396713257
28,273.0,21.89022207260132
29,252.0,21.39992928504944
30,277.0,21.605071306228638
31,328.0,21.368266582489014
32,322.0,21.538553714752197
33,316.0,21.7800133228302
34,321.0,21.756752729415894
35,301.0,21.25247311592102
36,299.0,21.499512672424316
37,310.0,21.330499172210693
38,299.0,21.785054206848145
39,330.0,21.381734132766724
40,303.0,21.265547513961792
41,281.0,21.80729389190674
42,287.0,21.433626651763916
43,309.0,21.574015855789185
44,286.0,21.16490340232849
45,314.0,21.96090054512024
46,308.0,21.34899377822876
47,273.0,21.37224507331848
48,352.0,21.814830541610718
49,318.0,21.51874327659607
50,296.0,21.396104097366333
51,302.0,21.229047298431396
52,306.0,21.9310462474823
53,322.0,21.388955116271973
54,345.0,21.598097801208496
55,275.0,21.48802161216736
56,331.0,21.580469846725464
57,334.0,21.555295944213867
58,310.0,21.42868185043335
59,325.0,21.460529804229736
60,349.0,21.39264440536499
61,300.0,21.34383249282837
62,314.0,21.66007924079895
63,321.0,21.45356273651123
64,297.0,22.208236694335938
65,300.0,22.040873765945435
66,279.0,21.641766786575317
67,327.0,21.428797245025635
68,307.0,22.14689803123474
69,301.0,21.28309202194214
70,301.0,21.903461456298828
71,350.0,21.773656368255615
72,249.0,21.30793261528015
73,382.0,21.312183141708374
74,280.0,21.24209475517273
75,364.0,21.26347041130066
76,312.0,21.69459891319275
77,340.0,21.428333282470703
78,344.0,21.54944157600403
79,311.0,21.52528691291809
80,333.0,21.460293292999268
81,330.0,21.640827894210815
82,323.0,21.430752992630005
83,289.0,21.566232681274414
84,302.0,21.384106636047363
85,327.0,21.70597743988037
86,356.0,20.98493218421936
87,333.0,21.66194462776184
88,356.0,21.80716061592102
89,283.0,21.438676834106445
90,340.0,21.65974497795105
91,343.0,21.634247064590454
92,275.0,22.400211095809937
93,321.0,21.812325954437256
94,304.0,21.454535722732544
95,298.0,21.344239473342896
96,302.0,21.485679388046265
97,316.0,21.631136655807495
98,316.0,21.85854983329773
99,282.0,21.67084813117981
