,size,GA
0,36,8.268742179870605
1,100,21.74300537109375
2,225,62.37230401039123
3,400,149.80002703666688
4,600,295.2598496437073
5,800,489.0085579872131
6,1000,728.8642546653748
7,1200,1015.7081616401672
8,1400,1353.224984025955
9,1600,1733.2215816020966
10,1800,2165.4989572525024
11,2000,2646.1038930416107
