,GA,time
0,213.0,20.987409591674805
1,194.0,21.11435580253601
2,267.0,21.382200479507446
3,197.0,21.156476736068726
4,212.0,21.4229257106781
5,216.0,21.07974410057068
6,205.0,21.295313835144043
7,180.0,21.075010538101196
8,230.0,21.38561177253723
9,195.0,21.681265830993652
10,253.0,21.42950177192688
11,254.0,21.30619215965271
12,243.0,21.24023175239563
13,223.0,21.82551598548889
14,194.0,21.238155603408813
15,220.0,21.652890920639038
16,238.0,20.933764934539795
17,218.0,21.07095503807068
18,212.0,21.362260103225708
19,223.0,20.984503269195557
20,194.0,21.26148772239685
21,187.0,21.8968288898468
22,240.0,21.254794120788574
23,215.0,21.42360281944275
24,214.0,21.240480661392212
25,257.0,21.257124662399292
26,243.0,20.975296020507812
27,208.0,21.290817260742188
28,241.0,21.824445724487305
29,184.0,21.460490465164185
30,197.0,21.546053886413574
31,274.0,21.275465965270996
32,216.0,21.208822011947632
33,244.0,21.48276925086975
34,240.0,21.026014804840088
35,196.0,21.45111656188965
36,205.0,20.932677745819092
37,197.0,21.570230960845947
38,210.0,21.43888831138611
39,228.0,21.269465923309326
40,257.0,21.218246459960938
41,204.0,21.335033178329468
42,203.0,21.100671529769897
43,200.0,21.433369636535645
44,259.0,21.080626249313354
45,233.0,21.137112379074097
46,236.0,21.221575021743774
47,189.0,20.965928316116333
48,283.0,21.429753303527832
49,214.0,21.150306463241577
50,199.0,21.194266319274902
51,214.0,21.579956531524658
52,221.0,21.120076894760132
53,210.0,21.1333224773407
54,255.0,21.318609476089478
55,181.0,21.317891836166382
56,244.0,21.235310316085815
57,236.0,21.46965003013611
58,238.0,21.35242247581482
59,243.0,21.0111403465271
60,247.0,21.269887685775757
61,241.0,21.431396007537842
62,245.0,21.234309196472168
63,215.0,21.405639171600342
64,199.0,21.24707341194153
65,212.0,21.97089958190918
66,199.0,21.575040102005005
67,221.0,20.843775510787964
68,236.0,21.39326810836792
69,219.0,21.009926080703735
70,192.0,21.182581186294556
71,240.0,21.47789978981018
72,190.0,21.19632387161255
73,244.0,22.024484157562256
74,205.0,21.739769458770752
75,235.0,21.87622594833374
76,208.0,21.661404132843018
77,248.0,21.241178274154663
78,242.0,21.24001169204712
79,211.0,22.243852853775024
80,232.0,21.056483507156372
81,240.0,21.40842866897583
82,234.0,21.233218669891357
83,211.0,21.608930826187134
84,205.0,21.084469079971313
85,235.0,21.689298391342163
86,214.0,21.109347105026245
87,216.0,21.289286136627197
88,251.0,21.875177145004272
89,203.0,21.072980880737305
90,252.0,21.3564875125885
91,252.0,21.139305591583252
92,207.0,21.24343752861023
93,227.0,22.145474195480347
94,238.0,21.244067192077637
95,202.0,21.34884238243103
96,248.0,21.037484407424927
97,243.0,21.750681400299072
98,225.0,21.25892686843872
99,205.0,21.146471977233887
