,GA,time
0,337.0,20.53736186027527
1,307.0,20.622663497924805
2,364.0,20.689644813537598
3,331.0,21.17900824546814
4,307.0,20.616342544555664
5,297.0,20.70063614845276
6,311.0,20.7264187335968
7,264.0,20.38390350341797
8,313.0,20.653513431549072
9,321.0,20.41073703765869
10,301.0,20.677000045776367
11,361.0,21.397610425949097
12,356.0,20.89857053756714
13,347.0,21.080592155456543
14,263.0,21.316078662872314
15,330.0,20.74479389190674
16,318.0,20.80081009864807
17,288.0,21.17480969429016
18,271.0,20.821020364761353
19,293.0,20.80497431755066
20,305.0,20.991695404052734
21,273.0,20.75327181816101
22,314.0,21.505199909210205
23,358.0,21.11447238922119
24,339.0,21.0085666179657
25,402.0,21.10905385017395
26,376.0,20.423949241638184
27,288.0,20.799806594848633
28,269.0,21.188467979431152
29,270.0,20.660917043685913
30,277.0,20.724916219711304
31,289.0,20.941524505615234
32,315.0,20.537304639816284
33,298.0,20.53668236732483
34,316.0,20.858351230621338
35,302.0,20.62285041809082
36,330.0,20.9917209148407
37,343.0,20.669566869735718
38,288.0,20.955695152282715
39,342.0,20.700132369995117
40,327.0,20.923960208892822
41,258.0,21.046380758285522
42,295.0,20.491876125335693
43,308.0,20.8452308177948
44,291.0,20.48767066001892
45,306.0,21.158671617507935
46,303.0,20.515561819076538
47,312.0,20.722590684890747
48,370.0,21.060372591018677
49,343.0,20.80612540245056
50,305.0,20.428279638290405
51,306.0,20.901630640029907
52,316.0,20.724551916122437
53,299.0,20.97197723388672
54,370.0,21.08371901512146
55,303.0,20.656413078308105
56,347.0,21.085801601409912
57,361.0,21.117892265319824
58,318.0,20.478036165237427
59,313.0,20.780205965042114
60,365.0,20.94878602027893
61,308.0,20.796496629714966
62,324.0,21.055641889572144
63,340.0,20.675960302352905
64,308.0,20.639933586120605
65,294.0,21.511489629745483
66,281.0,21.097843647003174
67,331.0,21.52866291999817
68,301.0,20.61442279815674
69,330.0,21.111629247665405
70,296.0,21.07915687561035
71,357.0,21.125356674194336
72,265.0,20.783024311065674
73,350.0,20.90279722213745
74,279.0,20.863927841186523
75,351.0,20.61847996711731
76,328.0,20.972883701324463
77,324.0,20.71255326271057
78,386.0,21.031673192977905
79,309.0,20.78281831741333
80,333.0,20.539223670959473
81,361.0,20.77307438850403
82,335.0,21.086485862731934
83,280.0,20.8615882396698
84,304.0,20.473529815673828
85,324.0,21.018056392669678
86,374.0,21.023781299591064
87,341.0,20.567954301834106
88,349.0,20.523536920547485
89,298.0,20.859350442886353
90,329.0,20.8690447807312
91,331.0,21.25685477256775
92,258.0,20.772719621658325
93,336.0,21.045116901397705
94,315.0,20.518901109695435
95,352.0,21.12998652458191
96,334.0,20.698230028152466
97,315.0,20.890623331069946
98,306.0,20.456369876861572
99,282.0,21.26901888847351
